4106;Ostrov;CZ0412;Karlovy Vary;
2104;Čáslav;CZ0205;Kutná Hora;
3102;České Budějovice;CZ0311;České Budějovice;
6201;Blansko;CZ0641;Blansko;
5201;Broumov;CZ0523;Náchod;
5306;Lanškroun;CZ0534;Ústí nad Orlicí;
8108;Havířov;CZ0803;Karviná;
5208;Kostelec nad Orlicí;CZ0524;Rychnov nad Kněžnou;
3108;Písek;CZ0314;Písek;
5108;Tanvald;CZ0512;Jablonec nad Nisou;
8101;Bílovec;CZ0804;Nový Jičín;
7108;Prostějov;CZ0713;Prostějov;
4103;Karlovy Vary;CZ0412;Karlovy Vary;
8103;Bruntál;CZ0801;Bruntál;
6210;Kyjov;CZ0645;Hodonín;
6110;Pelhřimov;CZ0633;Pelhřimov;
6105;Jihlava;CZ0632;Jihlava;
4202;Děčín;CZ0421;Děčín;
4101;Aš;CZ0411;Cheb;
3109;Prachatice;CZ0315;Prachatice;
2122;Říčany;CZ0209;Praha-východ;
7110;Šternberk;CZ0712;Olomouc;
5212;Nový Bydžov;CZ0521;Hradec Králové;
6106;Moravské Budějovice;CZ0634;Třebíč;
7207;Uherské Hradiště;CZ0722;Uherské Hradiště;
6216;Šlapanice;CZ0643;Brno-venkov;
6214;Rosice;CZ0643;Brno-venkov;
3202;Domažlice;CZ0321;Domažlice;
5207;Jičín;CZ0522;Jičín;
5202;Dobruška;CZ0524;Rychnov nad Kněžnou;
6113;Třebíč;CZ0634;Třebíč;
6102;Havlíčkův Brod;CZ0631;Havlíčkův Brod;
2115;Mladá Boleslav;CZ0207;Mladá Boleslav;
6114;Velké Meziříčí;CZ0635;Žďár nad Sázavou;
3112;Tábor;CZ0317;Tábor;
5312;Svitavy;CZ0533;Svitavy;
7208;Uherský Brod;CZ0722;Uherské Hradiště;
3104;Dačice;CZ0313;Jindřichův Hradec;
6220;Znojmo;CZ0647;Znojmo;
5309;Pardubice;CZ0532;Pardubice;
2110;Kolín;CZ0204;Kolín;
8115;Nový Jičín;CZ0804;Nový Jičín;
5213;Rychnov nad Kněžnou;CZ0524;Rychnov nad Kněžnou;
7203;Kroměříž;CZ0721;Kroměříž;
8106;Frýdek-Místek;CZ0802;Frýdek-Místek;
5204;Hořice;CZ0522;Jičín;
2103;Brandýs nad Labem-Stará Boleslav;CZ0209;Praha-východ;
5214;Trutnov;CZ0525;Trutnov;
3117;Vodňany;CZ0316;Strakonice;
6211;Mikulov;CZ0644;Břeclav;
2102;Beroun;CZ0202;Beroun;
3208;Nýřany;CZ0325;Plzeň-sever;
2121;Rakovník;CZ020C;Rakovník;
3115;Týn nad Vltavou;CZ0311;České Budějovice;
4209;Most;CZ0425;Most;
3105;Jindřichův Hradec;CZ0313;Jindřichův Hradec;
5103;Jablonec nad Nisou;CZ0512;Jablonec nad Nisou;
6202;Boskovice;CZ0641;Blansko;
3205;Klatovy;CZ0322;Klatovy;
4211;Roudnice nad Labem;CZ0423;Litoměřice;
8109;Hlučín;CZ0805;Opava;
6111;Světlá nad Sázavou;CZ0631;Havlíčkův Brod;
5107;Semily;CZ0514;Semily;
7102;Jeseník;CZ0711;Jeseník;
5308;Moravská Třebová;CZ0533;Svitavy;
3101;Blatná;CZ0316;Strakonice;
2109;Kladno;CZ0203;Kladno;
6217;Tišnov;CZ0643;Brno-venkov;
5205;Hradec Králové;CZ0521;Hradec Králové;
7107;Olomouc;CZ0712;Olomouc;
7101;Hranice;CZ0714;Přerov;
7205;Otrokovice;CZ0724;Zlín;
5307;Litomyšl;CZ0533;Svitavy;
5104;Jilemnice;CZ0514;Semily;
2101;Benešov;CZ0201;Benešov;
3106;Kaplice;CZ0312;Český Krumlov;
3213;Stříbro;CZ0327;Tachov;
7109;Přerov;CZ0714;Přerov;
2112;Kutná Hora;CZ0205;Kutná Hora;
2125;Vlašim;CZ0201;Benešov;
3107;Milevsko;CZ0314;Písek;
2119;Poděbrady;CZ0208;Nymburk;
2124;Slaný;CZ0203;Kladno;
5314;Vysoké Mýto;CZ0534;Ústí nad Orlicí;
5304;Chrudim;CZ0531;Chrudim;
2108;Hořovice;CZ0202;Beroun;
3211;Rokycany;CZ0326;Rokycany;
6104;Chotěboř;CZ0631;Havlíčkův Brod;
5209;Náchod;CZ0523;Náchod;
2120;Příbram;CZ020B;Příbram;
5101;Česká Lípa;CZ0511;Česká Lípa;
3206;Kralovice;CZ0325;Plzeň-sever;
5105;Liberec;CZ0513;Liberec;
8107;Frýdlant nad Ostravicí;CZ0802;Frýdek-Místek;
2116;Mnichovo Hradiště;CZ0207;Mladá Boleslav;
7105;Litovel;CZ0712;Olomouc;
5203;Dvůr Králové nad Labem;CZ0525;Trutnov;
4203;Chomutov;CZ0422;Chomutov;
4201;Bílina;CZ0426;Teplice;
5102;Frýdlant;CZ0513;Liberec;
6208;Ivančice;CZ0643;Brno-venkov;
7204;Luhačovice;CZ0724;Zlín;
4216;Žatec;CZ0424;Louny;
6218;Veselí nad Moravou;CZ0645;Hodonín;
4210;Podbořany;CZ0424;Louny;
7201;Bystřice pod Hostýnem;CZ0721;Kroměříž;
6101;Bystřice nad Pernštejnem;CZ0635;Žďár nad Sázavou;
3204;Horšovský Týn;CZ0321;Domažlice;
3201;Blovice;CZ0324;Plzeň-jih;
4207;Louny;CZ0424;Louny;
6221;Židlochovice;CZ0643;Brno-venkov;
7111;Šumperk;CZ0715;Šumperk;
2118;Nymburk;CZ0208;Nymburk;
6108;Nové Město na Moravě;CZ0635;Žďár nad Sázavou;
8110;Jablunkov;CZ0802;Frýdek-Místek;
6205;Bučovice;CZ0646;Vyškov;
6115;Žďár nad Sázavou;CZ0635;Žďár nad Sázavou;
6219;Vyškov;CZ0646;Vyškov;
3103;Český Krumlov;CZ0312;Český Krumlov;
3116;Vimperk;CZ0315;Prachatice;
8102;Bohumín;CZ0803;Karviná;
7113;Zábřeh;CZ0715;Šumperk;
5211;Nové Město nad Metují;CZ0523;Náchod;
6112;Telč;CZ0632;Jihlava;
7103;Konice;CZ0713;Prostějov;
7213;Zlín;CZ0724;Zlín;
7104;Lipník nad Bečvou;CZ0714;Přerov;
8114;Krnov;CZ0801;Bruntál;
4205;Litoměřice;CZ0423;Litoměřice;
6212;Moravský Krumlov;CZ0647;Znojmo;
2105;Černošice;CZ020A;Praha-západ;
8113;Kravaře;CZ0805;Opava;
6207;Hustopeče;CZ0644;Břeclav;
3210;Přeštice;CZ0324;Plzeň-jih;
3215;Tachov;CZ0327;Tachov;
8105;Frenštát pod Radhoštěm;CZ0804;Nový Jičín;
3110;Soběslav;CZ0317;Tábor;
2107;Dobříš;CZ020B;Příbram;
5310;Polička;CZ0533;Svitavy;
3113;Trhové Sviny;CZ0311;České Budějovice;
7202;Holešov;CZ0721;Kroměříž;
4213;Teplice;CZ0426;Teplice;
6215;Slavkov u Brna;CZ0646;Vyškov;
4206;Litvínov;CZ0425;Most;
5313;Ústí nad Orlicí;CZ0534;Ústí nad Orlicí;
6213;Pohořelice;CZ0643;Brno-venkov;
8117;Opava;CZ0805;Opava;
7210;Valašské Meziříčí;CZ0723;Vsetín;
7211;Vizovice;CZ0724;Zlín;
6109;Pacov;CZ0633;Pelhřimov;
5311;Přelouč;CZ0532;Pardubice;
6203;Brno;CZ0642;Brno-město;
7209;Valašské Klobouky;CZ0724;Zlín;
6204;Břeclav;CZ0644;Břeclav;
6107;Náměšť nad Oslavou;CZ0634;Třebíč;
8122;Vítkov;CZ0805;Opava;
4107;Sokolov;CZ0413;Sokolov;
3203;Horažďovice;CZ0322;Klatovy;
2106;Český Brod;CZ0204;Kolín;
8120;Rýmařov;CZ0801;Bruntál;
2113;Lysá nad Labem;CZ0208;Nymburk;
4104;Kraslice;CZ0413;Sokolov;
3214;Sušice;CZ0322;Klatovy;
6103;Humpolec;CZ0633;Pelhřimov;
3212;Stod;CZ0324;Plzeň-jih;
2114;Mělník;CZ0206;Mělník;
5315;Žamberk;CZ0534;Ústí nad Orlicí;
8121;Třinec;CZ0802;Frýdek-Místek;
7212;Vsetín;CZ0723;Vsetín;
5303;Holice;CZ0532;Pardubice;
3111;Strakonice;CZ0316;Strakonice;
3114;Třeboň;CZ0313;Jindřichův Hradec;
5106;Nový Bor;CZ0511;Česká Lípa;
2117;Neratovice;CZ0206;Mělník;
8119;Ostrava;CZ0806;Ostrava-město;
6209;Kuřim;CZ0643;Brno-venkov;
6206;Hodonín;CZ0645;Hodonín;
5215;Vrchlabí;CZ0525;Trutnov;
4208;Lovosice;CZ0423;Litoměřice;
5305;Králíky;CZ0534;Ústí nad Orlicí;
2126;Votice;CZ0201;Benešov;
5301;Česká Třebová;CZ0534;Ústí nad Orlicí;
8104;Český Těšín;CZ0803;Karviná;
3207;Nepomuk;CZ0324;Plzeň-jih;
5109;Turnov;CZ0513;Liberec;
5302;Hlinsko;CZ0531;Chrudim;
8111;Karviná;CZ0803;Karviná;
7112;Uničov;CZ0712;Olomouc;
2111;Kralupy nad Vltavou;CZ0206;Mělník;
5206;Jaroměř;CZ0523;Náchod;
7206;Rožnov pod Radhoštěm;CZ0723;Vsetín;
4215;Varnsdorf;CZ0421;Děčín;
4212;Rumburk;CZ0421;Děčín;
4214;Ústí nad Labem;CZ0427;Ústí nad Labem;
4102;Cheb;CZ0411;Cheb;
4204;Kadaň;CZ0422;Chomutov;
8118;Orlová;CZ0803;Karviná;
4105;Mariánské Lázně;CZ0411;Cheb;
5110;Železný Brod;CZ0512;Jablonec nad Nisou;
2123;Sedlčany;CZ020B;Příbram;
3209;Plzeň;CZ0323;Plzeň-město;
8116;Odry;CZ0804;Nový Jičín;
5109;Turnov;CZ0514;Semily;
5109;Turnov;CZ0512;Jablonec nad Nisou;
8112;Kopřivnice;CZ0804;Nový Jičín;
7106;Mohelnice;CZ0715;Šumperk;
5210;Nová Paka;CZ0522;Jičín;